Šalies id,Šalis,Portalo ID,Naujienų portalas,Kalba,Skenavimo laikas,Kategorija,Tekstas,Nuoroda
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,"Interviu / 
                                                        V.Čmilytė-Nielsen lengvo rudens nežada: galima daryti prielaidą, kad situacija nebus geresnė",https://www.15min.lt/naujiena/aktualu/lietuva/v-cmilyte-nielsen-lengvo-rudens-nezada-galima-daryti-prielaida-kad-situacija-nebus-geresne-56-1742978
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,NATO stoja į akistatą su Rusija: ar tai sustabdys Putiną?,https://www.15min.lt/video/nato-stoja-i-akistata-su-rusija-ar-tai-sustabdys-putina-222936
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,"15min idėja / 
                                                        7 įdomios lankytinos vietos Druskininkuose ir aplink juos",https://www.15min.lt/pasaulis-kiseneje/naujiena/per-lietuva/7-idomios-lankytinos-vietos-druskininkuose-ir-aplink-juos-642-1743874
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,"Komentaras / 
                                                        Arūnas Valinskas: Kaip Seimo pirmininkė su premjere Trečiąjį pasaulinį karą provokavo",https://www.15min.lt/naujiena/aktualu/komentarai/arunas-valinskas-kaip-seimo-pirmininke-su-premjere-treciaji-pasaulini-kara-provokavo-500-1744010
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,"Pinigai / 
                                                        Gimė vaikas? 9 išmokos, kurios priklauso sulaukus naujo šeimos nario",https://www.15min.lt/verslas/naujiena/finansai/gime-vaikas-9-ismokos-kurios-priklauso-sulaukus-naujo-seimos-nario-662-1741954
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,"Išskirtinis interviu / 
                                                        NATO imasi tramdyti Rusiją: generolas V.Rupšys įvardija artimiausius pokyčius Lietuvoje",https://www.15min.lt/naujiena/aktualu/lietuva/nato-imasi-tramdyti-rusija-generolas-v-rupsys-ivardija-artimiausius-pokycius-lietuvoje-56-1743262
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,PIKENROLO KLUBAS: M.Rutkauskas – apie D.Motiejūno perėjimą ir savo klientų situacijas,https://www.15min.lt/24sek/naujiena/europa/pikenrolo-klubas-m-rutkauskas-apie-d-motiejuno-perejima-ir-savo-klientu-situacijas-874-1743768
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,"Analizė / 
                                                        „Atsainumo kaina“ (I): Lietuvos ligoninės karo metu – gelbėtųsi kiekvienas kaip išmano",https://www.15min.lt/naujiena/aktualu/atsainumo-kaina-i-lietuvos-ligonines-karo-metu-gelbetusi-kiekvienas-kaip-ismano-55-1694758
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,"„NY Times“ / 
                                                        Maisto krizė gilėja – ar Vakarų šalys dėl to gali švelninti sankcijas Rusijai?",https://www.15min.lt/naujiena/aktualu/pasaulis/maisto-krize-gileja-ar-vakaru-salims-gali-svelninti-sankcijas-rusijai-57-1742504
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,Įkvepiančios įžymybių lieknėjimo transformacijos: kai kurios tapo neatpažįstamos,https://www.15min.lt/vardai/naujiena/pasaulis/ikvepiancios-izymybiu-lieknejimo-transformacijos-kai-kurios-tapo-neatpazistamos-1052-1741862
