Šalies id,Šalis,Portalo ID,Naujienų portalas,Kalba,Skenavimo laikas,Kategorija,Tekstas,Nuoroda
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,"Penki brangiausi šių metų gyvenamojo būsto sandoriai: dažnas viršijo milijoną, vienas butas pakliuvo per klaidą",https://www.15min.lt/verslas/naujiena/kvadratinis-metras/nekilnojamasis-turtas/5-brangiausi-siu-metu-gyvenamojo-busto-sandoriai-daznas-virsijo-milijona-vienas-butas-pakliuves-per-klaida-973-1744464
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,"Penki brangiausi šių metų gyvenamojo būsto sandoriai: dažnas viršijo milijoną, vienas butas pakliuvo per klaidą",https://www.15min.lt/verslas/naujiena/kvadratinis-metras/nekilnojamasis-turtas/5-brangiausi-siu-metu-gyvenamojo-busto-sandoriai-daznas-virsijo-milijona-vienas-butas-pakliuves-per-klaida-973-1744464
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,"„NY Times“ / 
                                                        Rusijoje ritasi areštų banga: „Jis niekur nepaspruks“",https://www.15min.lt/naujiena/aktualu/pasaulis/rusijoje-ritasi-arestu-banga-jis-niekur-nepaspruks-57-1844090
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,Neringa Rekašiūtė. Kodėl mes nebesimylime?,https://www.15min.lt/gyvenimas/naujiena/santykiai/neringa-rekasiute-kodel-mes-nebesimylime-1024-1874178
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,"Pinigai / 
                                                        Gimė vaikas? 9 išmokos, kurios priklauso sulaukus naujo šeimos nario",https://www.15min.lt/verslas/naujiena/finansai/gime-vaikas-9-ismokos-kurios-priklauso-sulaukus-naujo-seimos-nario-662-1741954
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,"„NY Times“ / 
                                                        Sankcijos Rusijai – galvos skausmas didžiausiam Europos uostui",https://www.15min.lt/naujiena/aktualu/pasaulis/sankcijos-rusijai-galvos-skausmas-didziausiam-europos-uostui-57-1899904
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,"„NY Times“ / 
                                                        FIFA korupcijos byla: kodėl S.Blatteris ir M.Platini buvo išteisinti?",https://www.15min.lt/sportas/naujiena/kita/fifa-korpucijos-byla-kodel-s-blatteris-ir-m-platini-buvo-isteisinti-26-1900816
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,"Rengiatės šiuo metu statyti namą? Štai, ką privalote žinoti",https://www.15min.lt/verslas/naujiena/kvadratinis-metras/nekilnojamasis-turtas/rengiates-statyti-nama-ka-privalote-zinoti-973-1694166
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,"Tik 15min / 
                                                        D.Adomaitis – apie darbą Japonijoje, A.Sireikos patarimus ir naują „Neptūno“ generolą",https://www.15min.lt/24sek/naujiena/lietuva/d-adomaitis-apie-darba-japonijoje-a-sireikos-patarimus-ir-nauja-neptuno-generola-875-1865912
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,"Pokalbis su G.Petroniene: kodėl bijome išsiskirti su partneriu, kuris netenkina",https://www.15min.lt/gyvenimas/naujiena/santykiai/pokalbis-su-g-petroniene-kodel-bijome-issiskirti-su-partneriu-kuris-netenkina-1024-1743550
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,"„NY Times“ / 
                                                        Naujoji Rusijos elito geografija – kur jie dabar ilsisi, dirba ir slepiasi?",https://www.15min.lt/naujiena/aktualu/pasaulis/naujoji-rusijos-elito-geografija-kur-jie-dabar-ilsisi-dirba-ir-slepiasi-57-1820694
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,"Šeimos gydytojas V.Morozovas įvardijo 3 vaistus, kuriuos turite išmesti iš savo vaistinėlės",https://www.15min.lt/gyvenimas/naujiena/sveikata/seimos-gydytojas-v-morozovas-ivardijo-3-vaistus-kuriuos-turite-ismesti-is-savo-vaistineles-1028-1742742
